merchant_name,category,brand
DELHI METRO PURCHASE 220285474,Transport,DELHI METRO
POS/DONATION PAYMENT/969938028,Other,DONATION PAYMENT
POS/ANNUAL MAINTENANCE CHARGE/831125753,Other,ANNUAL MAINTENANCE CHARGE
UPI-APOLLO HOSPITAL-368110590@ybl,Health,APOLLO HOSPITAL
UPI/CDM CASH DEPOSIT/262676582,Cash,CDM CASH DEPOSIT
INTEREST CREDIT BANK,Income,INTEREST CREDIT
THYROCARE PURCHASE 919742008,Health,THYROCARE
ZEPTO 07JUL,Shopping,ZEPTO
UNACADEMY LEARN PLUS,Education,UNACADEMY
PRACTO PURCHASE 770153362,Health,PRACTO
NEFT CR-RENT SPLIT TRANSFER-600265347,Transfers,RENT SPLIT TRANSFER
NEFT CR-STANZA LIVING RENT-237312945,Rent,STANZA LIVING RENT
DR LAL PATHLABS PURCHASE 497064285,Health,DR LAL PATHLABS
UPI-FREELANCE PAYMENT RECEIVED-103569442@apl,Income,FREELANCE PAYMENT RECEIVED
NEFT CR-IMPS TRANSFER-762423784,Transfers,IMPS TRANSFER
HOMETOWN FURNITURE,Shopping,HOMETOWNFURNITURE
NEFT CR-NATURALS ICE CREAM-821672704,Food,NATURALS ICE CREAM
YULU BIKE SI,Transport,YULU BIKE
BIL/CDSL DEPOSITORY/208204128,Investment,CDSL DEPOSITORY
GAMING ZONE,Entertainment,GAMING ZONE
IMPS/229006012/TEMPLE DONATION,Other,TEMPLE DONATION
UPI/ANGEL ONE/651544844,Investment,ANGEL ONE
BIL/ATM WITHDRAWAL ICICI/996401754,Cash,ATM WITHDRAWAL ICICI
VISTARA PURCHASE 849530830,Transport,VISTARA
POS/APOLLO HOSPITAL/613215026,Health,APOLLO HOSPITAL
FUND TRANSFER SELF ACCOUNT*539203518,Transfers,FUND TRANSFER SELF ACCOUNT
NEFT CR-GAMING ZONE-187202979,Entertainment,GAMING ZONE
POS CASH WITHDRAWAL KOTAK BANGALORE,Cash,CASH WITHDRAWAL KOTAK
UPI/PHARMEASY/654965529,Health,PHARMEASY
BIL/IKEA/427012523,Shopping,IKEA
rtgs transfer payment,Transfers,RTGS TRANSFER
SRL DIAGNOSTICS LAB,Health,SRLDIAGNOSTICSLAB
DONATION PAYMENT SI,Other,DONATION PAYMENT
BLINKIT PURCHASE 898730065,Shopping,BLINKIT
CARE HEALTH INSURANCE*229181373,Insurance,CARE HEALTH INSURANCE
BIL/VISTARA/268615534,Transport,VISTARA
WATER BOARD BILL 27SEP,Utilities,WATER BOARD BILL
IMPS/474015041/ZOMATO HYPERPURE,Food,ZOMATO HYPERPURE
SIP HDFC AMC,Investment,SIPHDFCAMC
NEFT DR-DR LAL PATHLABS,Health,DR LAL PATHLABS
DIVIDEND CREDIT*157760413,Income,DIVIDEND CREDIT
BIL/STAR HEALTH INSURANCE/476796271,Insurance,STAR HEALTH INSURANCE
UPI/IMPS TRANSFER/492936834,Transfers,IMPS TRANSFER
BIL/LIC JEEVAN ANAND/662657008,Insurance,LIC JEEVAN ANAND
NEFT CR-KUVERA INVESTMENT-786177667,Investment,KUVERA INVESTMENT
IMPS/420035728/FABINDIA,Shopping,FABINDIA
PNB METLIFE INDIA,Insurance,PNBMETLIFEINDIA
UPI-PHARMEASY-905749233@axl,Health,PHARMEASY
PRACTO ONLINE PAYMENT,Health,PRACTO
UPI-STAR HEALTH INSURANCE-829631072@paytm,Insurance,STAR HEALTH INSURANCE
UPI/GYM APP SUBSCRIPTION/272747645,Subscriptions,GYM APP SUBSCRIPTION
POS CONSULTANCY FEE RECEIVED KOLKATA,Income,CONSULTANCY FEE RECEIVED
LIC JEEVAN ANAND 05MAR,Insurance,LIC JEEVAN ANAND
ACH DR-PHYSICS WALLAH,Education,PHYSICS WALLAH
POS ICICI PRUDENTIAL LIFE PUNE,Insurance,ICICI PRUDENTIAL LIFE
POS/SUBWAY/964835149,Food,SUBWAY
BIL/LINKEDIN PREMIUM/308610937,Subscriptions,LINKEDIN PREMIUM
IMPS/877516194/TUITION FEES,Education,TUITION FEES
RTGS TRANSFER PURCHASE 287240259,Transfers,RTGS TRANSFER
Max Hospital,Health,MAX HOSPITAL
NEFT DR-DIVIDEND CREDIT,Income,DIVIDEND CREDIT
pharmeasy payment,Health,PHARMEASY
ZOLO STAYS RENT 26MAY,Rent,ZOLO STAYS RENT
POS HDFC SECURITIES HYDERABAD,Investment,HDFC SECURITIES
PAYTM MONEY PURCHASE 324075905,Investment,PAYTM MONEY
zolo stays rent payment,Rent,ZOLO STAYS RENT
INOX MOVIES SI,Entertainment,INOX MOVIES
IMPS/381856258/SPOTIFY,Subscriptions,SPOTIFY
RENT SPLIT TRANSFER 25MAY,Transfers,RENT SPLIT TRANSFER
NEFT CR-NEW INDIA ASSURANCE-549400734,Insurance,NEW INDIA ASSURANCE
NEFT CR-CASH WITHDRAWAL AXIS BANK-131382183,Cash,CASH WITHDRAWAL AXIS BANK
POS/ATM WITHDRAWAL HDFC/388959835,Cash,ATM WITHDRAWAL HDFC
CASH ADVANCE ATM,Cash,CASHADVANCEATM
IMPS/933122427/REFUND CREDIT,Income,REFUND CREDIT
BIL/EXCITEL BROADBAND/436709263,Utilities,EXCITEL BROADBAND
NEFT CR-GAMING ZONE-180972534,Entertainment,GAMING ZONE
ONLINE GAMING INDIA,Entertainment,ONLINEGAMINGINDIA
CHAAYOS TEA OUTLET,Food,CHAAYOS
LASER TAG ARENA,Entertainment,LASERTAGARENA
DONATION PAYMENT*541046538,Other,DONATION PAYMENT
POS/REFUND CREDIT/145141735,Income,REFUND CREDIT
IMPS/798408604/ADOBE CREATIVE CLOUD,Subscriptions,ADOBE CREATIVE CLOUD
INDANE GAS BOOKING PURCHASE 807254247,Utilities,INDANE GAS BOOKING
PLAYSTATION STORE 07AUG,Entertainment,PLAYSTATION STORE
AIRTEL DTH RECHARGE,Utilities,AIRTEL
UNACADEMY*924118397,Education,UNACADEMY
MOTILAL OSWAL INVEST,Investment,MOTILALOSWALINVEST
BIL/WESTSIDE/480968571,Shopping,WESTSIDE
MEDPLUS 08JAN,Health,MEDPLUS
TATA AIA LIFE PURCHASE 484407626,Insurance,TATA AIA LIFE
ICLOUD STORAGE 17OCT,Subscriptions,ICLOUD STORAGE
NEFT CR-LIC JEEVAN ANAND-862982133,Insurance,LIC JEEVAN ANAND
Inox Movies,Entertainment,INOX MOVIES
POS SWIGGY PUNE,Food,SWIGGY
UPI/SPICEJET/197473548,Transport,SPICEJET
UPI/NEFT TRANSFER/927959486,Transfers,NEFT TRANSFER
NEW INDIA ASSURANCE PURCHASE 248695033,Insurance,NEW INDIA ASSURANCE
IMPS/802664250/NGO DONATION,Other,NGO DONATION
POS/FAMILY TRANSFER/920806711,Transfers,FAMILY TRANSFER
NEFT CR-RAPIDO-688870662,Transport,RAPIDO
UPI/RENT SPLIT TRANSFER/227199606,Transfers,RENT SPLIT TRANSFER
POS THEOBROMA DELHI,Food,THEOBROMA
ACH DR-ANGEL ONE,Investment,ANGEL ONE
yulu bike payment,Transport,YULU BIKE
NEFT CR-FLAT RENT TRANSFER-246346150,Rent,FLAT RENT TRANSFER
NEFT CR-HOSTEL FEE PAYMENT-820159873,Rent,HOSTEL FEE PAYMENT
NEFT CR-DELHI METRO-490530625,Transport,DELHI METRO
UPI/BSNL/985756373,Utilities,BSNL
POS/ATM WITHDRAWAL SBI/207535290,Cash,ATM WITHDRAWAL SBI
ACH DR-PHARMEASY,Health,PHARMEASY
SMS CHARGE 18FEB,Other,SMS CHARGE
FIITJEE 20MAR,Education,FIITJEE
UPI/NSDL DEPOSITORY/252003776,Investment,NSDL DEPOSITORY
POS CONSULTANCY FEE RECEIVED MUMBAI,Income,CONSULTANCY FEE RECEIVED
Interest Credit,Income,INTEREST CREDIT
UPI-SBI MUTUAL FUND-455604686@apl,Investment,SBI MUTUAL FUND
BIL/CASH WITHDRAWAL KOTAK/761387608,Cash,CASH WITHDRAWAL KOTAK
POS MOJO PIZZA BANGALORE,Food,MOJO PIZZA
UPI-WESTSIDE-688574163@okhdfcbank,Shopping,WESTSIDE
BIL/BOOKMYSHOW/713811510,Entertainment,BOOKMYSHOW
POS/AUDIBLE/325837388,Subscriptions,AUDIBLE
hostel fee payment payment,Rent,HOSTEL FEE PAYMENT
UPI/PLAYSTATION STORE/798127845,Entertainment,PLAYSTATION STORE
POS GOOGLE ONE DELHI,Subscriptions,GOOGLE ONE
CASH WITHDRAWAL KOTAK ONLINE PAYMENT,Cash,CASH WITHDRAWAL KOTAK
INDIAN OIL*533698014,Transport,INDIAN OIL
REFUND CREDIT PURCHASE 846435811,Income,REFUND CREDIT
UPI/FLAT RENT TRANSFER/650691040,Rent,FLAT RENT TRANSFER
AIRTEL PURCHASE 189081236,Utilities,AIRTEL
PRACTO 13DEC,Health,PRACTO
IMPS/718360105/BIGBASKET,Shopping,BIGBASKET
BIL/FREELANCE PAYMENT RECEIVED/504661498,Income,FREELANCE PAYMENT RECEIVED
PANTALOONS PURCHASE 768724016,Shopping,PANTALOONS
STAR BAZAAR STORE,Shopping,STARBAZAARSTORE
BIL/MEESHO/339336253,Shopping,MEESHO
UPI-HOUSE RENT PAYMENT-377130207@apl,Rent,HOUSE RENT PAYMENT
NEFT CR-STEAM GAMES PURCHASE-453019287,Entertainment,STEAM GAMES PURCHASE
BIRYANI BLUES*304451095,Food,BIRYANI BLUES
IMPS/608507254/HOUSE RENT PAYMENT,Rent,HOUSE RENT PAYMENT
IMPS/549553756/NEFT TRANSFER,Transfers,NEFT TRANSFER
NEFT CR-AMAZON-112843471,Shopping,AMAZON
UPI-SMS CHARGE-962140850@oksbi,Other,SMS CHARGE
LIC JEEVAN ANAND*721261073,Insurance,LIC JEEVAN ANAND
AMUSEMENT PARK TICKET,Entertainment,AMUSEMENT PARK TICKET
UPI/AAKASH INSTITUTE/297291147,Education,AAKASH INSTITUTE
UPI/PG RENT PAYMENT/725644031,Rent,PG RENT PAYMENT
POS/BASKIN ROBBINS/288436227,Food,BASKIN ROBBINS
Icloud Storage,Subscriptions,ICLOUD STORAGE
JIO*135084096,Utilities,JIO
UPI-MANIPAL HOSPITAL-553612745@ybl,Health,MANIPAL HOSPITAL
POS/PLAYSTATION STORE/905640705,Entertainment,PLAYSTATION STORE
BIL/REIMBURSEMENT CREDIT/732273227,Income,REIMBURSEMENT CREDIT
BIL/CASH WITHDRAWAL KOTAK/358245981,Cash,CASH WITHDRAWAL KOTAK
POS HP GAS BOOKING CHENNAI,Utilities,HP GAS BOOKING
UPI-FIITJEE-448297368@okicici,Education,FIITJEE
POS/HOSTEL FEE PAYMENT/546621678,Rent,HOSTEL FEE PAYMENT
UPI-SPICEJET-219149420@okhdfcbank,Transport,SPICEJET
BIL/FAMILY TRANSFER/267061425,Transfers,FAMILY TRANSFER
POS QUICK RIDE BANGALORE,Transport,QUICK RIDE
TATA POWER PURCHASE 538937500,Utilities,TATA POWER
NEFT CR-RTGS TRANSFER-577485358,Transfers,RTGS TRANSFER
COURSERA ONLINE PAYMENT,Education,COURSERA
UPI-SHOPPERS STOP-128309105@axl,Shopping,SHOPPERS STOP
CROMA*547236783,Shopping,CROMA
IMPS/249248949/FUND TRANSFER SELF ACCOUNT,Transfers,FUND TRANSFER SELF ACCOUNT
POS/DECATHLON/983221403,Shopping,DECATHLON
BIL/AMUSEMENT PARK TICKET/227955302,Entertainment,AMUSEMENT PARK TICKET
UPI-APOLLO HOSPITAL-805831207@ybl,Health,APOLLO HOSPITAL
MAINTENANCE ADVANCE,Rent,MAINTENANCEADVANCE
ATM FEE CHARGE PURCHASE 992309199,Other,ATM FEE CHARGE
MICROSOFT 365 25AUG,Subscriptions,MICROSOFT 365
UPI/GROWW/901338353,Investment,GROWW
MIDCAP FUND INVEST,Investment,MIDCAPFUNDINVEST
NEFT DR-INDIAN RAILWAYS,Transport,INDIAN RAILWAYS
ATM WITHDRAWAL HDFC PURCHASE 969644770,Cash,ATM WITHDRAWAL HDFC
BANK SERVICE CHARGE*601411219,Other,BANK SERVICE CHARGE
UPI-RELIGARE HEALTH INSURANCE-680779824@ybl,Insurance,RELIGARE HEALTH INSURANCE
STANZA LIVING RENT*881697876,Rent,STANZA LIVING RENT
ATHER GRID CHARGING,Transport,ATHERGRIDCHARGING
THEOBROMA 03JUL,Food,THEOBROMA
HEALTHIFYME PURCHASE 569735065,Health,HEALTHIFYME
upi transfer to friend payment,Transfers,UPI TRANSFER TO FRIEND
UPI/LIFESTYLE/223181755,Shopping,LIFESTYLE
PLAYSTATION STORE*919951831,Entertainment,PLAYSTATION STORE
PAYROLL CREDIT*877625813,Income,PAYROLL CREDIT
INDANE GAS BOOKING 14MAR,Utilities,INDANE GAS BOOKING
APOLLO PHARMACY*295126657,Health,APOLLO PHARMACY
ACH DR-PANTALOONS,Shopping,PANTALOONS
PVR CINEMAS PURCHASE 977558198,Entertainment,PVR CINEMAS
BIL/PHYSICS WALLAH/152225319,Education,PHYSICS WALLAH
POS/INOX MOVIES/115259323,Entertainment,INOX MOVIES
UPI-BLINKIT-964823687@axl,Shopping,BLINKIT
POS/TEMPLE DONATION/148046962,Other,TEMPLE DONATION
ICICI PRUDENTIAL LIFE 08MAY,Insurance,ICICI PRUDENTIAL LIFE
SWIGGY INSTAMART*101815992,Food,SWIGGY INSTAMART
PHYSICS WALLAH PURCHASE 862362383,Education,PHYSICS WALLAH
DOMINOS PIZZA*645985356,Food,DOMINOS PIZZA
UPI-HDFC LIFE INSURANCE-381870230@apl,Insurance,HDFC LIFE INSURANCE
BIL/ATM WITHDRAWAL HDFC/775597843,Cash,ATM WITHDRAWAL HDFC
STARBUCKS SI,Food,STARBUCKS
ACH DR-JIO,Utilities,JIO
CULT FIT*654351339,Health,CULT FIT
POS/IKEA/869645166,Shopping,IKEA
NEFT CR-CONCERT TICKET BOOKING-711175063,Entertainment,CONCERT TICKET BOOKING
AXIS MUTUAL FUND PURCHASE 319298577,Investment,AXIS MUTUAL FUND
UPI/RAPIDO/603457793,Transport,RAPIDO
REIMBURSEMENT CREDIT*450316416,Income,REIMBURSEMENT CREDIT
ZOOMCAR RENTAL INDIA,Transport,ZOOMCARRENTALINDIA
NSDL DEPOSITORY PURCHASE 915318522,Investment,NSDL DEPOSITORY
MAX HOSPITAL*469141602,Health,MAX HOSPITAL
AMUSEMENT PARK TICKET*644016077,Entertainment,AMUSEMENT PARK TICKET
UPI-UDEMY-239199119@paytm,Education,UDEMY
BIL/BONUS CREDIT/349743101,Income,BONUS CREDIT
UPI-IKEA-142847338@apl,Shopping,IKEA
UBER SI,Transport,UBER
BIL/COIN BY ZERODHA/882355658,Investment,COIN BY ZERODHA
IMPS/931469703/WESTSIDE,Shopping,WESTSIDE
POS/CULT FIT/285115751,Health,CULT FIT
INDIGO AIRLINES PURCHASE 503204182,Transport,INDIGO AIRLINES
AMAZON RETAIL INDIA,Shopping,AMAZON
MOJO PIZZA 17SEP,Food,MOJO PIZZA
IMPS/237740657/CASH WITHDRAWAL AXIS BANK,Cash,CASH WITHDRAWAL AXIS BANK
UPI/ATM WITHDRAWAL ICICI/717549691,Cash,ATM WITHDRAWAL ICICI
REFUND CREDIT PURCHASE 180818365,Income,REFUND CREDIT
COUNTER CASH WITHDRAWAL,Cash,COUNTERCASHWITHDRAWAL
IMPS/127574144/ACT FIBERNET BROADBAND,Utilities,ACT FIBERNET BROADBAND
healthifyme payment,Health,HEALTHIFYME
COURSERA CERTIFICATE,Education,COURSERA
CROMA*920536715,Shopping,CROMA
BIL/STAR HEALTH INSURANCE/678368700,Insurance,STAR HEALTH INSURANCE
POS/LIC POLICY RENEWAL/708966834,Insurance,LIC POLICY RENEWAL
INTEREST CREDIT 28AUG,Income,INTEREST CREDIT
IMPS/525658880/PAYROLL CREDIT,Income,PAYROLL CREDIT
IMPS/397928718/EATFIT,Food,EATFIT
CONCERT TICKET BOOKING*838520633,Entertainment,CONCERT TICKET BOOKING
MONEY SENT ONLINE,Transfers,MONEYSENTONLINE
UPI/MCDONALDS/198524063,Food,MCDONALDS
UPI-PANTALOONS-374294163@paytm,Shopping,PANTALOONS
MEDICAL EQUIPMENT,Health,MEDICALEQUIPMENT
IMPS/841027438/MUMBAI METRO,Transport,MUMBAI METRO
IMPS/380169662/FAMILY TRANSFER,Transfers,FAMILY TRANSFER
IMPS/750820521/INDANE GAS BOOKING,Utilities,INDANE GAS BOOKING
AXIS MUTUAL FUND PURCHASE 291069859,Investment,AXIS MUTUAL FUND
BIL/RAPIDO/321705882,Transport,RAPIDO
GAMING ZONE 13JUL,Entertainment,GAMING ZONE
UPI-EATFIT-909851739@ybl,Food,EATFIT
FLIPKART 23APR,Shopping,FLIPKART
POS AUDIBLE MUMBAI,Subscriptions,AUDIBLE
NEFT CR-HOSTEL FEE PAYMENT-283991931,Rent,HOSTEL FEE PAYMENT
BIL/UNACADEMY/100603815,Education,UNACADEMY
BIL/UPSTOX/143919167,Investment,UPSTOX
IMPS/854985336/HP PETROL PUMP,Transport,HP PETROL PUMP
AAKASH INSTITUTE*490707021,Education,AAKASH INSTITUTE
Quick Ride,Transport,QUICK RIDE
POS/PAYROLL CREDIT/887953479,Income,PAYROLL CREDIT
ATM WDL SBI BRANCH,Cash,ATMWDLSBIBRANCH
NEFT CR-COLLEGE FEES PAYMENT-239484115,Education,COLLEGE FEES PAYMENT
BIL/PLAYSTATION STORE/797562046,Entertainment,PLAYSTATION STORE
BIL/FLIPKART/530189140,Shopping,FLIPKART
UPI/ATM WITHDRAWAL HDFC/249175681,Cash,ATM WITHDRAWAL HDFC
NETFLIX SUBSCRIPTION INDIA,Entertainment,NETFLIX
POS/CASH WITHDRAWAL AXIS BANK/609854554,Cash,CASH WITHDRAWAL AXIS BANK
UPI-QUICK RIDE-316885657@paytm,Transport,QUICK RIDE
RAPIDO*490234548,Transport,RAPIDO
UPI-UBER-893978083@apl,Transport,UBER
CONSULTANT FEES CREDIT,Income,CONSULTANTFEESCREDIT
BARBEQUE NATION,Food,BARBEQUE NATION
UPI/CULT FIT/980673779,Health,CULT FIT
POS/AAKASH INSTITUTE/968597782,Education,AAKASH INSTITUTE
REIMBURSEMENT CREDIT 07JUL,Income,REIMBURSEMENT CREDIT
UPI-MISCELLANEOUS CHARGE-632564240@oksbi,Other,MISCELLANEOUS CHARGE
UPI-IMPS TRANSFER-896107557@okhdfcbank,Transfers,IMPS TRANSFER
POS TATA POWER BANGALORE,Utilities,TATA POWER
PLAYSTATION STORE INDIA,Entertainment,PLAYSTATION STORE
UPI/BYJUS/325275283,Education,BYJUS
BIL/COLLEGE FEES PAYMENT/878297367,Education,COLLEGE FEES PAYMENT
FASTAG RECHARGE,Transport,FASTAG RECHARGE
NEFT CR-MAX FASHION-363315107,Shopping,MAX FASHION
COURSERA*915053296,Education,COURSERA
UPI-BARBEQUE NATION-586869229@paytm,Food,BARBEQUE NATION
MYNTRA PURCHASE 338123991,Shopping,MYNTRA
POS/LIC POLICY RENEWAL/401074007,Insurance,LIC POLICY RENEWAL
BOOKMYSHOW ONLINE PAYMENT,Entertainment,BOOKMYSHOW
UPI/IKEA/349978373,Shopping,IKEA
HDFC LIFE INSURANCE*435728204,Insurance,HDFC LIFE INSURANCE
IMPS/812775601/DIVIDEND CREDIT,Income,DIVIDEND CREDIT
POS/NSDL DEPOSITORY/904099224,Investment,NSDL DEPOSITORY
Air India,Transport,AIR INDIA
UPI-FASTAG RECHARGE-819883588@okhdfcbank,Transport,FASTAG RECHARGE
TORRENT POWER PURCHASE 751247855,Utilities,TORRENT POWER
UPI-UPI TRANSFER TO FRIEND-221893424@okicici,Transfers,UPI TRANSFER TO FRIEND
NEFT CR-CONCERT TICKET BOOKING-635031641,Entertainment,CONCERT TICKET BOOKING
POS/NESTAWAY RENT/382473504,Rent,NESTAWAY RENT
UPI/IKEA/142683817,Shopping,IKEA
BIL/UPI TRANSFER TO FRIEND/419033049,Transfers,UPI TRANSFER TO FRIEND
NEFT CR-NEFT TRANSFER-944420203,Transfers,NEFT TRANSFER
ATM WITHDRAWAL HDFC 28NOV,Cash,ATM WITHDRAWAL HDFC
PANTALOONS SI,Shopping,PANTALOONS
ELECTRONICS STORE INDIA,Shopping,ELECTRONICSSTOREINDIA
BIL/NETFLIX/918730606,Subscriptions,NETFLIX
BIL/BSNL/918375813,Utilities,BSNL
IMPS/747615429/ATM FEE CHARGE,Other,ATM FEE CHARGE
UPI TRANSFER TO FRIEND*863002504,Transfers,UPI TRANSFER TO FRIEND
ACH DR-NESTAWAY RENT,Rent,NESTAWAY RENT
BIL/COLLEGE FEES PAYMENT/874031178,Education,COLLEGE FEES PAYMENT
POS FASTAG RECHARGE KOLKATA,Transport,FASTAG RECHARGE
NEFT CR-BOOKMYSHOW-961560965,Entertainment,BOOKMYSHOW
BAJAJ ALLIANZ GENERAL,Insurance,BAJAJALLIANZGENERAL
UPI/MANIPAL HOSPITAL/791624301,Health,MANIPAL HOSPITAL
HOUSE RENT MONTHLY,Rent,HOUSERENTMONTHLY
UPI/SHOPPERS STOP/822415501,Shopping,SHOPPERS STOP
IMPS/648583131/COURSERA,Education,COURSERA
ACH DR-SBI LIFE INSURANCE,Insurance,SBI LIFE INSURANCE
POS REFUND CREDIT KOLKATA,Income,REFUND CREDIT
BIL/ADOBE CREATIVE CLOUD/941880862,Subscriptions,ADOBE CREATIVE CLOUD
WOW MOMO 16FEB,Food,WOW MOMO
YULU BIKE ONLINE PAYMENT,Transport,YULU BIKE
